Task ID,Story ID,Task Description,Owner,SP,Status,Branch Name,PR Link,Notes
TSK-01,US-A,Create users table,Kerem Ataç,0.5,Done,feature/US-A-instructor-auth-impl,https://github.com/Kremelim/LLMProject/pull/1,Created in Supabase schema
TSK-02,US-A,Seed instructor user,Kerem Ataç,0.5,Done,feature/US-A-instructor-auth-impl,https://github.com/Kremelim/LLMProject/pull/1,Seeded instructor1 and instructor2
TSK-03,US-A,Implement password hashing/checking,Kerem Ataç,0.5,Done,feature/US-A-instructor-auth-impl,https://github.com/Kremelim/LLMProject/pull/1,PBKDF2 hashing implemented
TSK-04,US-A,Implement instructorLogin(),Kerem Ataç,0.75,Done,feature/US-A-instructor-auth-impl,https://github.com/Kremelim/LLMProject/pull/1,Manual login tested
TSK-05,US-A,Add /instructor/login route,Kerem Ataç,0.25,Done,feature/US-A-instructor-auth-impl,https://github.com/Kremelim/LLMProject/pull/1,
TSK-06,US-A,Write instructor login tests,Kerem Ataç,0.5,Done,feature/US-A-instructor-auth-impl,https://github.com/Kremelim/LLMProject/pull/1,
TSK-07,US-B,Seed student user,Kerem Ataç,0.5,Done,feature/US-B-student-auth,https://github.com/Kremelim/LLMProject/pull/2,Seeded student1 and student2
TSK-08,US-B,Implement studentLogin(),Kerem Ataç,1,Done,feature/US-B-student-auth,https://github.com/Kremelim/LLMProject/pull/2,
TSK-09,US-B,Add /student/login route,Kerem Ataç,0.5,Done,feature/US-B-student-auth,https://github.com/Kremelim/LLMProject/pull/2,
TSK-10,US-B,Write student login tests,Kerem Ataç,1,Done,feature/US-B-student-auth,https://github.com/Kremelim/LLMProject/pull/2,
TSK-11,US-C,Create courses table,Kerem Ataç,0.5,Done,feature/US-C-authorization,https://github.com/Kremelim/LLMProject/pull/3,Created in Supabase schema
TSK-12,US-C,Create course_enrollments table,Kerem Ataç,0.5,Done,feature/US-C-authorization,https://github.com/Kremelim/LLMProject/pull/3,Created in Supabase schema
TSK-13,US-C,Implement require_user(),Kerem Ataç,1,Done,feature/US-C-authorization,https://github.com/Kremelim/LLMProject/pull/3,
TSK-14,US-C,Implement require_instructor(),Kerem Ataç,1,Done,feature/US-C-authorization,https://github.com/Kremelim/LLMProject/pull/3,
TSK-15,US-C,Implement require_student(),Kerem Ataç,1,Done,feature/US-C-authorization,https://github.com/Kremelim/LLMProject/pull/3,
TSK-16,US-C,Implement require_course_access(),Kerem Ataç,1,Done,feature/US-C-authorization,https://github.com/Kremelim/LLMProject/pull/3,
TSK-17,US-C,Test unauthorized access,Kerem Ataç,1,Done,feature/US-C-authorization,https://github.com/Kremelim/LLMProject/pull/3,
TSK-18,US-D,Implement listMyCourses(),Kerem Ataç,2,Done,feature/US-D-list-courses,https://github.com/Kremelim/LLMProject/pull/4,
TSK-19,US-D,Add /instructor/courses route,Kerem Ataç,0.5,Done,feature/US-D-list-courses,https://github.com/Kremelim/LLMProject/pull/4,
TSK-20,US-D,Test only assigned courses returned,Kerem Ataç,0.5,Done,feature/US-D-list-courses,https://github.com/Kremelim/LLMProject/pull/4,
TSK-21,US-E,Create activities table,Kerem Ataç,0.5,Done,feature/US-E-list-activities,https://github.com/Kremelim/LLMProject/pull/5,Created in Supabase schema
TSK-22,US-E,Implement listActivities(),Kerem Ataç,1.5,Done,feature/US-E-list-activities,https://github.com/Kremelim/LLMProject/pull/5,
TSK-23,US-E,Add /instructor/activities route,Kerem Ataç,0.5,Done,feature/US-E-list-activities,https://github.com/Kremelim/LLMProject/pull/5,
TSK-24,US-E,Test deterministic order by activity_no,Kerem Ataç,0.5,Done,feature/US-E-list-activities,https://github.com/Kremelim/LLMProject/pull/5,
TSK-25,US-F,Implement createActivity(),Kerem Ataç,1.5,Done,feature/US-F-create-activity,https://github.com/Kremelim/LLMProject/pull/6,
TSK-26,US-F,Validate required fields,Kerem Ataç,1,Done,feature/US-F-create-activity,https://github.com/Kremelim/LLMProject/pull/6,',
TSK-27,US-F,Reject duplicate activity_no,Kerem Ataç,1,Done,feature/US-F-create-activity,https://github.com/Kremelim/LLMProject/pull/6,
TSK-28,US-F,Add create route,Kerem Ataç,0.5,Done,feature/US-F-create-activity,https://github.com/Kremelim/LLMProject/pull/6,
TSK-29,US-F,Test create activity success/failure,Kerem Ataç,1,Done,feature/US-F-create-activity,https://github.com/Kremelim/LLMProject/pull/6,
TSK-30,US-H,Implement startActivity(),Kerem Ataç,1.5,Done,feature/US-H-activity-state,https://github.com/Kremelim/LLMProject/pull/7,
TSK-31,US-H,Implement endActivity(),Kerem Ataç,1.5,Done,feature/US-H-activity-state,https://github.com/Kremelim/LLMProject/pull/7,
TSK-32,US-H,Block score logging after ENDED,Kerem Ataç,1,Done,feature/US-H-activity-state,https://github.com/Kremelim/LLMProject/pull/7,
TSK-33,US-H,Add start/end routes,Kerem Ataç,0.5,Done,feature/US-H-activity-state,https://github.com/Kremelim/LLMProject/pull/7,
TSK-34,US-H,Test status transitions,Kerem Ataç,0.5,Done,feature/US-H-activity-state,https://github.com/Kremelim/LLMProject/pull/7,
TSK-35,US-I,Implement getActivity(),Kerem Ataç,1.5,Done,feature/US-I-active-access,https://github.com/Kremelim/LLMProject/pull/8,
TSK-36,US-I,Hide learning_objectives in student response,Kerem Ataç,1,Done,feature/US-I-active-access,https://github.com/Kremelim/LLMProject/pull/8,
TSK-37,US-I,Reject NOT_STARTED,Kerem Ataç,0.75,Done,feature/US-I-active-access,https://github.com/Kremelim/LLMProject/pull/8,
TSK-38,US-I,Reject ENDED,Kerem Ataç,0.75,Done,feature/US-I-active-access,https://github.com/Kremelim/LLMProject/pull/8,
TSK-39,US-I,Reject non-enrolled student,Kerem Ataç,0.5,Done,feature/US-I-active-access,https://github.com/Kremelim/LLMProject/pull/8,
TSK-40,US-I,Test all access cases,Kerem Ataç,0.5,Done,feature/US-I-active-access,https://github.com/Kremelim/LLMProject/pull/8,
